training_base,testing_base,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,overall_accuracy,corruption_type
4,10,0.9785714285714284,0.9929515418502204,0.9641472868217056,0.9495049504950496,0.9826883910386964,0.92152466367713,0.954070981210856,0.9241245136186772,0.9373716632443532,0.9682854311199208,0.9581,shear
2,10,0.9612244897959183,0.9779735682819384,0.9021317829457364,0.9524752475247524,0.9511201629327902,0.8340807174887892,0.9572025052192068,0.9348249027237354,0.9363449691991786,0.9554013875123883,0.9377,shear
999,10,0.9928571428571428,0.9973568281938326,0.9806201550387597,0.9792079207920792,0.9837067209775968,0.9719730941704036,0.9707724425887264,0.958171206225681,0.9599589322381932,0.971258671952428,0.9769,shear
8,10,0.9040816326530612,0.9859030837004406,0.9515503875968992,0.9277227722772278,0.9114052953156824,0.8553811659192825,0.7150313152400835,0.9270428015564204,0.7351129363449692,0.9900891972249752,0.8935,scale
9,10,0.976530612244898,0.988546255506608,0.935077519379845,0.9673267326732672,0.95010183299389,0.967488789237668,0.919624217118998,0.796692607003891,0.8634496919917864,0.9821605550049554,0.9349,scale
5,10,0.9346938775510204,0.99647577092511,0.9593023255813954,0.986138613861386,0.8665987780040734,0.7836322869955157,0.9676409185803758,0.9105058365758756,0.9014373716632444,0.956392467789891,0.9289,scale
10,10,0.956122448979592,0.9955947136563876,0.9156976744186046,0.9554455445544554,0.9439918533604889,0.9551569506726456,0.8914405010438413,0.7149805447470817,0.8203285420944558,0.9653121902874132,0.9118,scale
7,10,0.9387755102040816,0.9920704845814978,0.8943798449612403,0.9673267326732672,0.8910386965376782,0.9551569506726456,0.9624217118997912,0.8900778210116731,0.9014373716632444,0.9682854311199208,0.9365,scale
3,10,0.823469387755102,0.99647577092511,0.8633720930232558,0.8475247524752475,0.8890020366598778,0.954035874439462,0.9582463465553236,0.9552529182879378,0.7546201232032854,0.9682854311199208,0.9021,scale
6,10,0.9051020408163264,0.9903083700440528,0.811046511627907,0.9891089108910892,0.9867617107942972,0.9260089686098656,0.8444676409185804,0.5914396887159533,0.8162217659137577,0.9226957383548068,0.8785,scale
99,10,0.6571428571428571,0.9709251101321584,0.9060077519379846,0.904950495049505,0.8513238289205702,0.8094170403587444,0.7223382045929019,0.5097276264591439,0.6427104722792608,0.9900891972249752,0.7994,scale
4,10,0.8306122448979592,0.99647577092511,0.8982558139534884,0.9346534653465348,0.9256619144602852,0.9035874439461884,0.8423799582463466,0.8375486381322957,0.7453798767967146,0.9821605550049554,0.8916,scale
2,10,0.7081632653061225,0.9911894273127754,0.8420542635658915,0.8405940594059406,0.9531568228105908,0.8632286995515696,0.7766179540709812,0.7947470817120622,0.8490759753593429,0.9395441030723488,0.8579,scale
999,10,0.953061224489796,0.9947136563876652,0.9651162790697676,0.9712871287128712,0.940936863543788,0.9562780269058296,0.9039665970772442,0.8949416342412452,0.8809034907597536,0.9871159563924676,0.9457,scale
8,10,0.9959183673469388,0.8933920704845815,0.9118217054263564,0.9495049504950496,0.8309572301425662,0.922645739910314,0.8716075156576201,0.8025291828793775,0.8839835728952772,0.9236868186323092,0.8982,rotate
9,10,0.9948979591836736,0.9480176211453744,0.937984496124031,0.9405940594059404,0.8329938900203666,0.9439461883408072,0.8935281837160751,0.8083657587548638,0.8726899383983573,0.9355797819623388,0.911,rotate
5,10,0.9877551020408164,0.9251101321585904,0.9050387596899224,0.9683168316831684,0.7169042769857433,0.8408071748878924,0.940501043841336,0.8268482490272373,0.8860369609856262,0.88800792864222,0.8894,rotate
10,10,0.9897959183673468,0.9568281938325992,0.8953488372093024,0.9623762376237625,0.769857433808554,0.9316143497757848,0.917536534446764,0.7383268482490273,0.9250513347022588,0.904856293359762,0.8991,rotate
